"","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG","SUM"
"1",-0.00159561372237271,-0.00219759709681745,-0.0037769008569631,0.0298961376034333,0.0271777346090493,-0.00638322757573782,0.194264777692452,-0.0028059517330725,0.00838409069097836,0.0622177917729533,-0.0220288298107931,0.210339356716819,0.00261252276937606,0.000992684362408242,-0.0248586315425231,0.47223834387919
"2",-0.00231278201303348,-0.0228420024055375,-0.118709639040797,0.0709737431717929,0.126243376216801,-0.0115359724221744,-0.14690536166594,-0.116010089539071,0.0116605113037259,-0.146621727602168,0.0100934494919377,-0.205354331242144,-0.0408184193130455,-0.00840832350601265,-0.00478737839525603,-0.605334946960922
"3",0.00643345313806179,-0.0126333669269934,0.0233006109331312,0.0296710911312048,0.0267359541060424,0.0122560328312359,-0.0425836183919601,0.0231982086020991,0.00736147095332886,0.213651362932356,0.00347075407703947,-0.127130630034692,0.0851854621517528,0.0182566038394478,0.0311530973697896,0.298326486711845
"4",0.00490413851346677,-0.0098386796352812,-0.150321253930741,0.151092911713253,0.140641465426059,0.0102032392867493,0.0516080524923628,-0.153548559904845,0.0864486764740106,-0.0602397502167084,0.0188447507715033,0.111483015512807,0.000341523044529139,0.160129448116487,-0.0664002726081878,0.295348705055465
"5",0.00131745934669739,0.00933650175643398,-0.00520097025493195,0.0207299723951381,0.00169549420659111,0.00246495499607241,0.0437758667018567,-0.0112408995848919,0.00387250549767488,0.117200992724878,-0.0158126212168355,-0.0174126384215264,-0.064684700957056,-0.0163140102314263,-0.00335637462504663,0.0663715323336279
"6",-0.0016772700614318,0.0362233153551152,0.10424843536064,-0.0267473802709782,-0.0585240872137693,-0.0092023186441621,0.0412452874388252,0.0911121087400957,-0.01108212335693,-0.00602654857456331,-0.0231007080596415,0.138330042685528,0.0421041367210902,-0.0107023065363824,0.0285147907918566,0.334715374375292
"7",-0.00358181650438186,-0.011316535623317,-0.00934129025677446,-0.0408752155550783,0.0101167650720747,-0.00127891609942304,-0.0203962370924646,-0.000618230400261053,0.000301052454371744,0.0792243946071009,0.0142614001543239,-0.0785086351727368,0.0142595964022011,-0.0178153824519873,-0.00308053460301425,-0.0686495850693662
"8",-0.00966846071762402,-0.063599992801234,-0.192543519309415,0.0950402703827228,0.215480127193804,-0.015823360180681,-0.122050030022638,-0.183531637939275,0.0281173546921306,-0.057664132780709,0.0114637503407116,-0.0956365903236121,-0.0939045078673842,-0.00652562226139867,-0.0473161837044341,-0.538162535299036
"9",0.0539356855469973,-0.0088254460998379,0.125674980597301,0.107330999114947,0.066009997158306,0.0937036143064085,0.514570532803073,0.212358890292792,-0.0244446110607924,0.535644478793177,0.0705787621560535,0.52960948803616,-0.0500955322087071,-0.0306630516057721,0.0288763507006733,2.22426513853078
"10",0.0205582029916957,-0.117440119819704,-0.409796354906035,0.181249106694285,0.33951580907848,0.0373338759165746,-0.354227288349985,-0.224706657066777,0.0575182568734444,-0.0849540932016871,0.0246849144285119,-0.273748820811617,-0.132845265829111,-0.00357542645546717,-0.0162776328449178,-0.95671149330231
"11",-0.000859131608151885,0.0181692739687198,-0.0364697351977899,0.0409436942428616,0.045191869929279,-0.00902492791325508,-0.0266601939291239,-0.0589434079751429,0.0489723926854935,0.152485358796235,-0.0428842461153941,0.0220191729606098,-0.0743819648091994,0.0474914019448217,-0.0453756562489833,0.0806739007309797
"12",0.00215289712827706,-0.0151839240387969,-0.0218614999560496,0.0239818228739214,0.0488282913250065,0.0186389905875425,-0.0530734802759928,0.00700079076119317,-0.0194485577705337,-0.0881156776406924,0.0565586127329666,-0.0760817770208958,-0.0572552810336652,-0.0163667283418507,-0.0110216221242091,-0.201247142793779
"13",0.0110064328834991,0.00873590615347618,0.0663419982045393,0.0726749071471929,-0.0240534423850367,0.0359098723925339,-0.205239392372109,0.0365937037038265,0.0405658715460623,0.00385005942913374,0.0322432105046411,-0.263976699594559,0.0631781088464173,0.0213862294326308,0.0110503906706967,-0.0897328434370548
"14",-0.0145718191298584,0.140155044589413,0.183041141655165,-0.154470729415283,-0.177422131911031,-0.0841626872728226,0.505088007567902,0.228672808167364,-0.119472987715232,0.575920915345794,-0.076237773227108,0.284646321622448,0.0414039868861927,-0.0863896795499138,0.05652552007235,1.30272593768538
"15",-0.0060779709834966,0.0613144921830937,0.162308276518895,-0.0895404195519799,-0.0962438982899296,-0.0339195457680662,-0.0521814093736023,0.192094144722899,-0.0709764851235521,-0.0237280290589459,-0.0303262761108379,-0.060386500769669,0.182301061706867,-0.0221973715963056,0.0551853693075597,0.16762543781293
"16",-0.0047278534630928,-0.013037697967965,0.0263868472762831,0.0511629435922837,0.0914691528616373,0.025127279019574,-0.0419545830680913,0.0234200271279693,0.0260794179747376,-0.253321920149893,0.120983116982251,-0.0379753864042343,0.00200492365649382,0.103807573233557,-0.0361221492421012,0.0833016914294087
"17",-0.00407194111082886,0.0199534401828026,-0.0721862238590028,0.013798382448992,-0.0741823261306764,0.0256704076663343,0.0772285739822118,-0.0918329891800364,0.0037647960114348,0.175344993748664,0.0469823503112943,0.0901252624335806,-0.103327164467932,0.0192027598458564,0.0148292194359047,0.141299541318598
