"","Date","Close","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"32",2017-03-21,99.75,-0.5069,8,5.65,12.281,6,-0.126725,2,1.4125,3.07025,1.5,-0.5,0.5,0.5,0.5,0
"33",2017-03-22,99.72,-2.57083333333333,-1,2.95,2.276,2,-0.514166666666666,-0.2,0.59,0.4552,0.4,-1,-0.6,0.2,-0.2,-0.2
"34",2017-03-23,99.76,0.470833333333333,1,-0.15,0.0380000000000002,0,0.156944444444444,0.333333333333333,-0.05,0.0126666666666667,0,0.333333333333333,-0.333333333333333,0.333333333333333,-0.333333333333333,-0.333333333333333
"35",2017-03-24,99.77,-0.808333333333333,0,0.4,13.87,4,-0.269444444444444,0,0.133333333333333,4.62333333333333,1.33333333333333,-0.333333333333333,-0.333333333333333,0.333333333333333,1,0.333333333333333
"36",2017-03-27,99.22,-5.14583333333333,-6,-5.6,3.567,-4,-0.857638888888888,-1,-0.933333333333333,0.5945,-0.666666666666667,-0.666666666666667,-1,-0.666666666666667,0.333333333333333,-1
"37",2017-03-28,99.68,2.73958333333333,7,4.95,12.134,6,0.684895833333333,1.75,1.2375,3.0335,1.5,0.5,1,0.5,1,0.5
"38",2017-03-29,99.93,-0.870833333333333,-3,-0.65,1.038,0,-0.290277777777778,-1,-0.216666666666667,0.346,0,-0.333333333333333,-1,-0.333333333333333,0.333333333333333,-1
"39",2017-03-30,100.51,-0.90625,3,2.5,4.42,3,-0.302083333333333,1,0.833333333333333,1.47333333333333,1,-1,1,1,0.333333333333333,0.333333333333333
"40",2017-03-31,100.56,-0.522619047619047,7,10.1,16.62,8,-0.104523809523809,1.4,2.02,3.324,1.6,-0.2,0.2,0.2,0.6,0.2
"41",2017-04-03,100.49,-1.89583333333334,-3,-2.2,2.25,-3,-0.947916666666669,-1.5,-1.1,1.125,-1.5,0,-1,-1,1,-1
"42",2017-04-04,100.49,-0.1194,3,3.25,8.332,6,-0.0199,0.5,0.541666666666667,1.38866666666667,1,-0.333333333333333,-0.333333333333333,0.333333333333333,0,-0.333333333333333
"43",2017-04-05,100.52,-1.0625,-1,1.2,2.372,-2,-0.53125,-0.5,0.6,1.186,-1,0,-1,0,1,-1
"44",2017-04-06,100.72,-0.125,-2,0.5,2.249,-4,-0.0625,-1,0.25,1.1245,-2,0,-1,0,0,-1
"45",2017-04-07,101.13,-3.44945952380953,5,5.75,8.415,11,-1.72472976190477,2.5,2.875,4.2075,5.5,-1,0,0,1,0
"46",2017-04-10,101.01,0.49166666666667,-1,0.7,4.372,1,0.122916666666668,-0.25,0.175,1.093,0.25,0,-0.5,0,0.5,-0.5
"47",2017-04-11,100.71,0.475044444444444,-5,-3.1,-1.11,-5,0.0950088888888888,-1,-0.62,-0.222,-1,0.2,-0.6,-0.2,-0.2,-0.2
"48",2017-04-12,100.18,0.666666666666667,7,4.35,7.302,6,0.166666666666667,1.75,1.0875,1.8255,1.5,0,0.5,1,1,-0.5
"49",2017-04-13,100.58,-0.255952380952384,-13,-1.5,22.045,-14,-0.031994047619048,-1.625,-0.1875,2.755625,-1.75,0.25,-0.25,0.25,0.75,-0.25
"50",2017-04-14,100.58,0.333333333333333,-2,0.7,1.555,-3,0.333333333333333,-2,0.7,1.555,-3,1,-1,1,1,-1
"51",2017-04-17,100.3,0.7625,2,0,8.051,6,0.190625,0.5,0,2.01275,1.5,0,0,0,0.5,0.5
"52",2017-04-18,99.5,-3.34166666666666,-3,-1.55,5.537,4,-0.668333333333331,-0.6,-0.31,1.1074,0.8,-0.6,-0.6,-0.2,0.2,-0.2
"53",2017-04-19,99.81,-2.80416666666667,0,-0.8,4.778,3,-0.560833333333334,0,-0.16,0.9556,0.6,-0.6,-0.6,-0.6,1,0.2
"54",2017-04-20,99.84,-0.208333333333333,6,1.3,7.26,1,-0.0694444444444444,2,0.433333333333333,2.42,0.333333333333333,-0.333333333333333,1,0.333333333333333,1,-0.333333333333333
"55",2017-04-21,99.98,-1.13333333333333,-4,-2.45,3.803,-1,-0.283333333333333,-1,-0.6125,0.95075,-0.25,-0.5,-1,0,1,0
"56",2017-04-24,99.04,0.45,0,1.4,2.049,0,0.225,0,0.7,1.0245,0,0,0,0,1,-1
"57",2017-04-25,98.83,0.739583333333333,1,-0.35,2.519,0,0.369791666666667,0.5,-0.175,1.2595,0,1,0,0,0,0
"58",2017-04-26,98.98,-1.05,4,2.05,6.454,4,-0.2625,1,0.5125,1.6135,1,0,0,0,1,0
"59",2017-04-27,99.15,3.89518333333333,2,2.8,6.48,2,0.779036666666666,0.4,0.56,1.296,0.4,1,0.2,0.2,0.2,-0.2
"60",2017-04-28,99.04,-0.541666666666666,4,5.7,9.069,4,-0.135416666666667,1,1.425,2.26725,1,0,0,0.5,1,0.5
"61",2017-05-01,99.13,-1.64583333333333,2,3.35,4.777,1,-0.411458333333332,0.5,0.8375,1.19425,0.25,-0.5,0,1,0.5,0
